Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Vibr1,Vibr2,Vibr3,Vibr4
5/29/2022 16:38,66.40384,77.96244,65.30889,76.07322,67.78533,76.39208,65.51001,72.18238,64.36405,71.62838,0,93323.73,-0.09,0.046,0.012,-0.127
5/29/2022 16:38,66.23553,77.97718,65.32711,75.97816,67.85944,76.42628,65.39974,72.13885,64.35873,71.62971,0,94166.12,-0.027,0.142,0.01,-0.059
5/29/2022 16:38,66.2339,78.01295,65.3556,75.94345,67.82245,76.47163,65.37823,72.09993,64.34785,71.63365,0,94166.12,0.051,0.054,0.066,0.005
5/29/2022 16:38,66.35928,77.91934,65.27309,76.04281,67.76109,76.39054,65.44949,72.16603,64.3891,71.63493,0,94166.12,0.083,0.151,0.042,0.015
5/29/2022 16:38,66.2551,77.91647,65.29774,75.97512,67.82544,76.39307,65.4361,72.16148,64.41521,71.64059,0,94166.12,0.022,0.088,-0.017,-0.044
5/29/2022 16:38,66.23403,77.92997,65.31272,75.99858,67.81805,76.40347,65.39659,72.16072,64.37597,71.64336,0,94166.12,-0.002,0.134,0.078,-0.051
5/29/2022 16:38,66.29464,78.05771,65.39677,75.87843,67.85734,76.48385,65.38509,72.12124,64.32454,71.64449,0,94166.12,-0.029,-0.061,-0.024,0
5/29/2022 16:38,66.31061,77.8932,65.30955,76.03003,67.84787,76.42049,65.44608,72.18886,64.35766,71.64557,0,94166.12,0.029,-0.056,0.012,0.034
5/29/2022 16:38,66.25188,78.03979,65.37222,75.86917,67.95154,76.49885,65.36795,72.14772,64.27475,71.64997,0,94166.12,0.01,0.066,0.046,0.046
5/29/2022 16:38,64.70753,75.91998,67.42407,76.59136,68.31392,75.24506,63.61264,72.59328,66.49194,71.65144,0,94166.12,0.002,0.049,0.122,0.054
5/29/2022 16:38,66.40024,77.93275,65.28591,76.08076,67.71625,76.4046,65.52843,72.20499,64.31229,71.65153,0,94166.12,-0.115,-0.02,-0.017,-0.027
5/29/2022 16:38,64.82669,75.92433,67.37455,76.58354,68.31004,75.22602,63.58385,72.56345,66.4678,71.67093,0,94166.12,-0.159,-0.068,0.049,-0.051
5/29/2022 16:38,66.32306,77.87436,65.32149,76.11597,67.75919,76.37711,65.56151,72.21561,64.24843,71.68019,0,94166.12,-0.122,0.051,0.056,0.02
5/29/2022 16:38,64.67213,75.89106,67.42908,76.57631,68.33125,75.19256,63.61749,72.56762,66.53716,71.68124,0,94166.12,-0.081,-0.01,0.051,0.088
5/29/2022 16:38,66.30704,77.82116,65.31448,76.08543,67.7655,76.35688,65.57823,72.20566,64.1749,71.68143,0,94166.12,-0.005,-0.056,-0.056,0.122
